journal
"American Economic Review"
"The Quarterly Journal of Economics"
"American Economic Review: Insights"
Econometrica
"Journal of Political Economy"
"Journal of Labor Economics"
"RAND Journal of Economics"
"Journal of Economic Geography"
"Journal of Economics & Management Strategy"
"Management Science"
"Information Systems Research"
"AEJ: Applied"
MISQ
"Marketing Science"
"Judgment and Decision Making"
"Clinical Psychological Science"
"ACM-Electronic Commerce"
"ACM-Computer Human Interaction"
ICIS
CIST
