journal
American Economic Review
The Quarterly Journal of Economics
American Economics Review (Insights)
Econometrica
Journal of Political Economy
Journal of Labor Economics
RAND Journal of Economics
Journal of Economic Geography
Journal of Economics & Management Strategy
Management Science
Information Systems Review
AEJ: Applied
MISQ
Marketing Science
Judgement & Decision Making
Clinical Psychological Science
ACM-Electronic Commerce
ACM-Computer Human Interaction
ICIS
CIST
