title,institution,start,end
Richard S. Leghorn Career Development Associate Professor,MIT Sloan School of Management,2020,Present
Assistant Professor,MIT Sloan School of Management,2019,2020
Assistant Professor of Information Systems,"Stern School of Business, New York University",2013,2019
